name,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
Max Flight Radius,5,10,2,2,5,2,10,5,10,10
Max Flight Altitude,500,1000,100,100,1000,100,1000,500,500,1000
Max Flight Duration,30,55,20,25,30,15,60,40,45,50
Daily Flight Frequency,10,15,5,4,6,3,18,10,12,16
Night Flight Support,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
auto_nav_obstacle_avoid,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes
max_wind_resistance,20,30,10,10,22,8,30,15,20,30
ip_rating,IP54,IP67,IP44,IP54,IP66,IP53,IP68,IP65,IP67,IP68
supported_mission_types,"Monitorting, Inspection","Monitoring, Storage, Ship","Fence, Monitoring",Fence,Storageï¼Œmonitoring,Fence,All,Env/Ship,Monitoring,All
Noise Levels,65,60,70,72,65,70,55,63,65,58
Drone Cost,"10,000","15,000","9,950",6100,13999,8888,15280,11000,15000,20000
sensor_support,"Thermal, Infrared","Thermal, Gas",Basic Camera,,Infrared,,Thermal/Infrared/Gas,Gas,Thermal/Gas,Thermal/Infrared
startup_time,3,5,2,4,2,4,1,3,3,2
Regular Maintenance Complexity,Medium,High,Low,Low,Medium,Low,High,Medium,Medium,High
transmission_capability,Yes/Cloud,Yes/Local,No/Local,No/Cloud,Yes/Cloud,No/Local,Yes/Local,Yes/Local,Yes/Cloud,Yes/Local
Compliance ,EU,EU,EU,CN,EU,EU,EU,EU,EU,EU
